player_id,weight,first_name,middle_name,last_name,team_id,birth_date,height,foot,short_name,current_national_team_id,passport_area_name,passport_area_id,passport_area_alpha3code,passport_area_alpha2code,role_code2,role_code3,role_name,birth_area_name,birth_area_id,birth_area_alpha3code,birth_area_alpha2code
32777,78,Harun,,Tekin,4502,1989-06-17,187,right,H. Tekin,4687,Turkey,792,TUR,TR,GK,GKP,Goalkeeper,Turkey,792,TUR,TR
393228,73,Malang,,Sarr,3775,1999-01-23,182,left,M. Sarr,4423,Senegal,686,SEN,SN,DF,DEF,Defender,France,250,FRA,FR
393230,72,Over,,Mandanda,3772,1998-10-26,176,,O. Mandanda,,France,250,FRA,FR,GK,GKP,Goalkeeper,France,250,FRA,FR
32793,82,Alfred John Momar,,N'Diaye,683,1990-03-06,187,right,A. N'Diaye,19314,Senegal,686,SEN,SN,MD,MID,Midfielder,France,250,FRA,FR
393247,84,Ibrahima,,Konaté,2975,1999-05-25,192,right,I. Konaté,,France,250,FRA,FR,DF,DEF,Defender,France,250,FRA,FR
33,83,Jasper,,Cillessen,676,1989-04-22,185,right,J. Cillessen,664,Netherlands,528,NLD,NL,GK,GKP,Goalkeeper,Netherlands,528,NLD,NL
36,91,Toby,,Alderweireld,1624,1989-03-02,187,right,T. Alderweireld,5629,Belgium,56,BEL,BE,DF,DEF,Defender,Belgium,56,BEL,BE
48,88,Jan,,Vertonghen,1624,1987-04-24,189,left,J. Vertonghen,5629,Belgium,56,BEL,BE,DF,DEF,Defender,Belgium,56,BEL,BE
229427,74,Alexander,,Djiku,3783,1994-08-09,182,right,A. Djiku,,France,250,FRA,FR,DF,DEF,Defender,France,250,FRA,FR
54,76,Christian ,,Dannemann Eriksen,1624,1992-02-14,180,right,C. Eriksen,7712,Denmark,208,DNK,DK,MD,MID,Midfielder,Denmark,208,DNK,DK
65596,74,Marcel,,Sabitzer,2975,1994-03-17,177,right,M. Sabitzer,,Austria,40,AUT,AT,MD,MID,Midfielder,Austria,40,AUT,AT
66,84,Kolbeinn,,Sigþórsson,3770,1990-03-14,186,right,K. Sigþórsson,,Iceland,352,ISL,IS,FW,FWD,Forward,Iceland,352,ISL,IS
393284,74,Charles,,Traoré,3795,1992-01-01,180,left,C. Traoré,,France,250,FRA,FR,DF,DEF,Defender,Mali,466,MLI,ML
77,75,Niklas,,Moisander,2443,1985-09-29,183,left,N. Moisander,4849,Finland,246,FIN,FI,DF,DEF,Defender,Finland,246,FIN,FI
91,91,Charlison,,Benschop,2455,1989-08-21,191,right,C. Benschop,18138,Cura\u00e7ao,531,CUW,CW,FW,FWD,Forward,Cura\u00e7ao,531,CUW,CW
93,77,Johann ,,Berg Guðmunds­son,1646,1990-10-27,186,left,J. Guðmunds­son,7839,Iceland,352,ISL,IS,MD,MID,Midfielder,Iceland,352,ISL,IS
99,83,Przemysław,,Tytoń,677,1987-01-04,194,right,P. Tytoń,,Poland,616,POL,PL,GK,GKP,Goalkeeper,Poland,616,POL,PL
102,85,Marcelo Antônio,,Guedes Filho,3766,1987-05-20,191,right,Marcelo,,Brazil,76,BRA,BR,DF,DEF,Defender,Brazil,76,BRA,BR
110,65,Jetro,,Willems,2462,1994-03-30,169,left,J. Willems,,Cura\u00e7ao,531,CUW,CW,DF,DEF,Defender,Netherlands,528,NLD,NL
131184,78,Ali Adnan Kadhim,,Al Tameemi,3163,1993-12-19,186,left,Ali Adnan,17759,Iraq,368,IRQ,IQ,DF,DEF,Defender,Iraq,368,IRQ,IQ
114,78,Kevin,,Strootman,3158,1990-02-13,186,left,K. Strootman,,Netherlands,528,NLD,NL,MD,MID,Midfielder,Netherlands,528,NLD,NL
118,78,Memphis,,Depay,3766,1994-02-13,176,right,M. Depay,664,Ghana,288,GHA,GH,FW,FWD,Forward,Netherlands,528,NLD,NL
122,61,Dries,,Mertens,3187,1987-05-06,169,right,D. Mertens,5629,Belgium,56,BEL,BE,FW,FWD,Forward,Belgium,56,BEL,BE
123,78,Ola,,Toivonen,3780,1986-07-03,192,right,O. Toivonen,7047,Sweden,752,SWE,SE,FW,FWD,Forward,Sweden,752,SWE,SE
130,78,Stefan,,de Vrij,3162,1992-02-05,189,right,S. de Vrij,,Netherlands,528,NLD,NL,DF,DEF,Defender,Netherlands,528,NLD,NL
142,78,Karim,,El Ahmadi Al Aroos,16469,1985-01-27,179,right,K. El Ahmadi,16216,Morocco,504,MAR,MA,MD,MID,Midfielder,Netherlands,528,NLD,NL
